generation,First_Individual_First_Chromosome_X_Count,Mean_X_Count,Approx_Mean,NB_Mean,Sim_Variance,Approx_Variance,NB_Variance,Charles_Mean,Sim_P,Approx_P,NB_P,Sim_Skewness,NB_Skewness,Sim_Third_Moment,Sim_Excess_kurtosis,NB_Excess_Kurtosis
274,58,105.911,104.993,108.27,154.327,149.664,148.352,149.448,0.686278,0.701526,0.729821,0.174045,0.142897,333.674,0.00447857,0.0272585
275,64,106.035,105,108.28,149.797,149.675,148.365,149.465,0.707859,0.701525,0.729822,0.191878,0.14289,351.788,0.0502558,0.0272558
276,56,106.1,105.007,108.29,150.977,149.685,148.378,149.481,0.702756,0.701524,0.729824,0.120716,0.142883,223.939,-0.11068,0.0272532
277,46,105.865,105.014,108.299,152.827,149.694,148.39,149.496,0.692715,0.701523,0.729825,0.13331,0.142876,251.861,-0.0226123,0.0272506
278,55,105.917,105.02,108.308,147.038,149.704,148.402,149.511,0.720334,0.701522,0.729827,0.129544,0.14287,230.974,0.0945837,0.0272482
279,41,106.093,105.026,108.317,149.473,149.713,148.414,149.526,0.709779,0.701521,0.729828,0.125851,0.142864,229.985,-0.0104074,0.0272458
280,62,105.964,105.032,108.326,146.921,149.721,148.426,149.54,0.721234,0.70152,0.72983,0.104381,0.142857,185.886,0.00220576,0.0272434
281,57,105.898,105.038,108.334,151.064,149.73,148.437,149.554,0.701014,0.701519,0.729831,0.118162,0.142852,219.391,0.00816102,0.0272412
282,51,106.082,105.044,108.342,147.772,149.738,148.447,149.567,0.717881,0.701518,0.729832,0.113841,0.142846,204.495,0.085105,0.027239
283,59,106.363,105.049,108.35,152.207,149.746,148.458,149.58,0.698806,0.701517,0.729833,0.168101,0.14284,315.661,0.0549853,0.0272368
284,53,106.14,105.055,108.357,149.551,149.754,148.468,149.593,0.709728,0.701517,0.729834,0.175737,0.142835,321.4,-0.00178231,0.0272348
285,48,106.152,105.06,108.365,144.298,149.762,148.478,149.605,0.735641,0.701516,0.729836,0.141194,0.14283,244.742,0.147565,0.0272327
286,59,106.284,105.065,108.372,149.864,149.769,148.487,149.617,0.709202,0.701515,0.729837,0.169774,0.142825,311.47,0.0229002,0.0272308
287,44,106.381,105.07,108.379,148.714,149.776,148.497,149.628,0.715342,0.701515,0.729838,0.138352,0.14282,250.906,0.0482502,0.0272289
288,74,106.343,105.075,108.385,146.226,149.783,148.506,149.639,0.727247,0.701514,0.729839,0.142194,0.142815,251.432,-0.0482739,0.027227
