generation,Mean_X_Count,Approx_Mean,NB_Mean,Sim_Variance,Approx_Variance,NB_Variance,Charles_Mean,Sim_P,Approx_P,NB_P,Sim_Skewness,NB_Skewness,Sim_Third_Moment,Sim_Excess_kurtosis,NB_Excess_Kurtosis
18196,93.4411,90.22556390977407,91.65772105606486,100.39313079000158,99.99999999999962,99.36676571790694,99.99999999999963,0.9307519275940945,0.9022556390977441,0.9224182793296568,0.08073468856129251,0.11719301783890637,81.2112455470614,0.030585616228349544,0.015569441660672654
18197,93.3935,90.22556390977407,91.65772105606486,99.90985774999979,99.99999999999962,99.36676571790694,99.99999999999963,0.9347776295878092,0.9022556390977441,0.9224182793296568,0.06386912263249785,0.11719301783890637,63.782782500749,-0.059646685830813784,0.015569441660672654
18198,93.3197,90.22556390977407,91.65772105606486,101.54449190999712,99.99999999999962,99.36676571790694,99.99999999999963,0.9190030719018508,0.9022556390977441,0.9224182793296568,0.09299221865279804,0.11719301783890637,95.15490188274562,0.027686003634132206,0.015569441660672654
18199,93.3181,90.22556390977407,91.65772105606486,101.76331239000045,99.99999999999962,99.36676571790694,99.99999999999963,0.9170112274093949,0.9022556390977441,0.9224182793296568,0.07496038975990467,0.11719301783890637,76.95178320748617,0.04396478207662868,0.015569441660672654
18200,93.103,90.22556390977407,91.65772105606486,101.34119099999997,99.99999999999962,99.36676571790694,99.99999999999963,0.9187083660779162,0.9022556390977441,0.9224182793296568,0.0894685415581241,0.11719301783890637,91.2744792540012,-0.005412594921283986,0.015569441660672654
18201,92.9772,90.22556390977407,91.65772105606486,100.75188015999986,99.99999999999962,99.36676571790694,99.99999999999963,0.9228333987648348,0.9022556390977441,0.9224182793296568,0.11892486375744672,0.11719301783890637,120.26864045529861,0.09443886529054613,0.015569441660672654
18202,92.9359,90.22556390977407,91.65772105606486,99.09059118999983,99.99999999999962,99.36676571790694,99.99999999999963,0.9378882382667533,0.9022556390977441,0.9224182793296568,0.11492765770710692,0.11719301783890637,113.3634840605566,0.010179711174205686,0.015569441660672654
18203,93.0549,90.22556390977407,91.65772105606486,100.90468599000307,99.99999999999962,99.36676571790694,99.99999999999963,0.9222059321330154,0.9022556390977441,0.9224182793296568,0.09445308243270938,0.11719301783890637,95.73773274829827,-0.004578782618264388,0.015569441660672654
18204,92.9697,90.22556390977407,91.65772105606486,100.55338190999927,99.99999999999962,99.36676571790694,99.99999999999963,0.9245805385562559,0.9022556390977441,0.9224182793296568,0.11723475132706145,0.11719301783890637,118.20923023374556,0.011357740321497722,0.015569441660672654
18205,93.0176,90.22556390977407,91.65772105606486,101.58729024000093,99.99999999999962,99.36676571790694,99.99999999999963,0.9156421022772145,0.9022556390977441,0.9224182793296568,0.11432578928564412,0.11719301783890637,117.05858562355647,-0.027740791533134246,0.015569441660672654
18206,93.1299,90.22556390977407,91.65772105606486,100.28182598998332,99.99999999999962,99.36676571790694,99.99999999999963,0.9286817335107392,0.9022556390977441,0.9224182793296568,0.1300308024720409,0.11719301783890637,130.58088047779398,-0.011313205148163696,0.015569441660672654
18207,93.2118,90.22556390977407,91.65772105606486,100.70374076000043,99.99999999999962,99.36676571790694,99.99999999999963,0.9256041463459098,0.9022556390977441,0.9224182793296568,0.10835888341183475,0.11719301783890637,109.50474193406782,-0.05877821632443947,0.015569441660672654
18208,93.4025,90.22556390977407,91.65772105606486,99.4316937500007,99.99999999999962,99.36676571790694,99.99999999999963,0.9393634612605535,0.9022556390977441,0.9224182793296568,0.12301629490000136,0.11719301783890637,121.96912228124673,0.06679592006648694,0.015569441660672654
18209,93.5547,90.22556390977407,91.65772105606486,98.54940790999919,99.99999999999962,99.36676571790694,99.99999999999963,0.9493177278694497,0.9022556390977441,0.9224182793296568,0.13690195801478758,0.11719301783890637,133.93395349464708,0.02620596208210646,0.015569441660672654
18210,93.6076,90.22556390977407,91.65772105606486,100.39822223999853,99.99999999999962,99.36676571790694,99.99999999999963,0.932363122687912,0.9022556390977441,0.9224182793296568,0.21972083647203366,0.11719301783890637,221.03460809395466,0.13839781994156075,0.015569441660672654
18211,93.6409,90.22556390977407,91.65772105606486,99.220947189997,99.99999999999962,99.36676571790694,99.99999999999963,0.9437613997041185,0.9022556390977441,0.9224182793296568,0.16193194611720022,0.11719301783890637,160.0433333618521,0.015704003007563472,0.015569441660672654
18212,93.7577,90.22556390977407,91.65772105606486,99.4149907099981,99.99999999999962,99.36676571790694,99.99999999999963,0.9430941886168769,0.9022556390977441,0.9224182793296568,0.09214427715951024,0.11719301783890637,91.33688200806444,-0.0022516957440044116,0.015569441660672654
18213,93.7643,90.22556390977407,91.65772105606486,103.60594550999541,99.99999999999962,99.36676571790694,99.99999999999963,0.9050088731727667,0.9022556390977441,0.9224182793296568,0.13547022031595865,0.11719301783890637,142.86335826341005,-0.019711078491672307,0.015569441660672654
18214,93.6108,90.22556390977407,91.65772105606486,102.84472336000044,99.99999999999962,99.36676571790694,99.99999999999963,0.9102149039997145,0.9022556390977441,0.9224182793296568,0.13259218388680502,0.11719301783890637,138.29005370342676,-0.002595849579783316,0.015569441660672654
18215,93.4463,90.22556390977407,91.65772105606486,102.89091631000147,99.99999999999962,99.36676571790694,99.99999999999963,0.9082074817805523,0.9022556390977441,0.9224182793296568,0.13121237048975687,0.11719301783890637,136.94315647169188,0.07336367906470631,0.015569441660672654
18216,93.4653,90.22556390977407,91.65772105606486,103.06579590999954,99.99999999999962,99.36676571790694,99.99999999999963,0.9068508051072248,0.9022556390977441,0.9224182793296568,0.10011951561820279,0.11719301783890637,104.75881613615294,-0.004299862536727428,0.015569441660672654
18217,93.5092,90.22556390977407,91.65772105606486,101.87611535999892,99.99999999999962,99.36676571790694,99.99999999999963,0.9178716686395746,0.9022556390977441,0.9224182793296568,0.12245967759563657,0.11719301783890637,125.92201843737438,-0.05392983678366514,0.015569441660672654
18218,93.6494,90.22556390977407,91.65772105606486,102.1224796400014,99.99999999999962,99.36676571790694,99.99999999999963,0.9170302202818575,0.9022556390977441,0.9224182793296568,0.1301831388020215,0.11719301783890637,134.34971996357046,0.024505262426900654,0.015569441660672654
18219,93.6993,90.22556390977407,91.65772105606486,102.33447951000058,99.99999999999962,99.36676571790694,99.99999999999963,0.9156180834519541,0.9022556390977441,0.9224182793296568,0.1487879953934944,0.11719301783890637,154.02842340731627,0.06205729243500668,0.015569441660672654
18220,93.6448,90.22556390977407,91.65772105606486,101.62223295999992,99.99999999999962,99.36676571790694,99.99999999999963,0.9214991372691057,0.9022556390977441,0.9224182793296568,0.16341804995747883,0.11719301783890637,167.41066597478473,0.0049276476500415,0.015569441660672654
18221,93.643,90.22556390977407,91.65772105606486,99.16675100000171,99.99999999999962,99.36676571790694,99.99999999999963,0.9442983566134822,0.9022556390977441,0.9224182793296568,0.07254572798278762,0.11719301783890637,71.64088961399891,-0.02230282606206746,0.015569441660672654
18222,93.7416,90.22556390977407,91.65772105606486,100.02302944000029,99.99999999999962,99.36676571790694,99.99999999999963,0.9372001680496165,0.9022556390977441,0.9224182793296568,0.11080022872275253,0.11719301783890637,110.8385059345888,-0.048356284649417436,0.015569441660672654
18223,93.8819,90.22556390977407,91.65772105606486,101.22455239000027,99.99999999999962,99.36676571790694,99.99999999999963,0.9274617450348377,0.9022556390977441,0.9224182793296568,0.13101768340365075,0.11719301783890637,133.43160612451518,0.015956762705171545,0.015569441660672654
18224,93.8829,90.22556390977407,91.65772105606486,99.73478758999994,99.99999999999962,99.36676571790694,99.99999999999963,0.9413255120765236,0.9022556390977441,0.9224182793296568,0.10817218022499521,0.11719301783890637,107.74213660357617,0.12710618231358595,0.015569441660672654
18225,93.9349,90.22556390977407,91.65772105606486,102.51886198999891,99.99999999999962,99.36676571790694,99.99999999999963,0.9162694374149772,0.9022556390977441,0.9224182793296568,0.10930071131967282,0.11719301783890637,113.45630964109718,-0.008511241248273738,0.015569441660672654
18226,93.8241,90.22556390977407,91.65772105606486,101.16175919000072,99.99999999999962,99.36676571790694,99.99999999999963,0.9274660776092355,0.9022556390977441,0.9224182793296568,0.1130647805607647,0.11719301783890637,115.04080281304049,-0.0021522101554176665,0.015569441660672654
18227,93.8781,90.22556390977407,91.65772105606486,99.51284038999894,99.99999999999962,99.36676571790694,99.99999999999963,0.9433767504985695,0.9022556390977441,0.9224182793296568,0.15405230590643748,0.11719301783890637,152.92795711707996,0.00357561420199648,0.015569441660672654
18228,93.9746,90.22556390977407,91.65772105606486,99.91335483999896,99.99999999999962,99.36676571790694,99.99999999999963,0.940560950540503,0.9022556390977441,0.9224182793296568,0.125401360030478,0.11719301783890637,125.23841402586999,0.03556969570580337,0.015569441660672654
